Player,Position,Finishing,xG,Positioning,Speed,Strength,Passing,Vision,Aggression,Composure,OffTheBall,PressActions,MarketValue
Estanis,ST,87.0,0.71,85.0,68.0,60.0,62.0,62.0,79.0,65.0,65.0,7.5,32.3
Adrian Baquerin,ST,86.0,0.71,81.0,72.0,81.0,63.0,61.0,83.0,65.0,65.0,7.1,32.8
Mika Biereth,ST,90.0,0.71,83.0,74.0,69.0,68.0,62.0,79.0,84.0,67.0,6.9,46.7
Folarin Balogun,ST,90.0,0.7,86.0,65.0,71.0,62.0,71.0,79.0,70.0,68.0,8.8,43.8
Jáder Durán,ST,88.0,0.69,81.0,71.0,90.0,67.0,64.0,84.0,77.0,66.0,7.3,39.8
Serhou Guirassy,ST,89.0,0.68,81.0,65.0,82.0,64.0,65.0,83.0,76.0,69.0,7.6,44.1
Maximilian Breunig,ST,85.0,0.68,82.0,73.0,86.0,60.0,63.0,84.0,69.0,66.0,7.4,34.3
Hugo Ekitike,ST,87.0,0.68,82.0,87.0,76.0,73.0,69.0,82.0,68.0,78.0,10.6,55.6
Noah Edjouma,ST,84.0,0.67,86.0,70.0,65.0,64.0,74.0,75.0,73.0,66.0,8.0,32.8
Emanuel Emegha,ST,84.0,0.67,80.0,67.0,75.0,68.0,64.0,82.0,69.0,70.0,8.7,37.1
Richarlison,ST,80.0,0.66,78.0,70.0,70.0,61.0,67.0,81.0,77.0,66.0,7.6,25.0
Daniel Maldini,ST,84.0,0.66,79.0,70.0,68.0,64.0,69.0,81.0,75.0,67.0,8.8,31.9
Shiō Fukuda,ST,84.0,0.65,79.0,69.0,75.0,64.0,73.0,80.0,78.0,65.0,7.7,33.2
Ferrán Torres,ST,83.0,0.65,79.0,65.0,75.0,69.0,67.0,80.0,79.0,68.0,7.9,30.0
Mohamed Lamine Bayo,ST,85.0,0.65,79.0,65.0,60.0,66.0,62.0,78.0,72.0,66.0,7.1,31.8
Donyell Malen,ST,82.0,0.64,81.0,70.0,79.0,68.0,61.0,82.0,75.0,67.0,7.5,37.1
George Ilenikhena,ST,82.0,0.64,79.0,73.0,81.0,70.0,64.0,80.0,65.0,66.0,6.5,35.4
Victor Boniface,ST,83.0,0.63,82.0,65.0,65.0,68.0,63.0,77.0,79.0,69.0,7.9,36.7
Patrik Schick,ST,87.0,0.63,81.0,73.0,75.0,65.0,62.0,79.0,75.0,66.0,7.5,39.5
Lanroy Machine,ST,83.0,0.62,76.0,75.0,66.0,67.0,62.0,77.0,65.0,65.0,7.9,28.8
Erling Haaland,ST,95.0,0.62,90.0,89.0,89.0,62.0,64.0,85.0,87.0,68.0,7.7,63.0
Deniz Undav,ST,82.0,0.61,80.0,65.0,77.0,62.0,71.0,82.0,68.0,69.0,8.9,29.2
Elysée Logbo,ST,81.0,0.61,78.0,65.0,78.0,67.0,67.0,79.0,65.0,65.0,6.8,22.6
Endrick,ST,81.0,0.61,79.0,65.0,60.0,60.0,65.0,76.0,65.0,67.0,7.8,23.3
Robinio Vaz,ST,83.0,0.61,78.0,73.0,72.0,68.0,62.0,76.0,65.0,65.0,8.3,27.2
Emi Buendía,ST,84.0,0.6,77.0,65.0,62.0,61.0,66.0,79.0,65.0,65.0,8.5,23.4
Ermedin Demirović,ST,80.0,0.6,74.0,65.0,64.0,71.0,65.0,74.0,81.0,68.0,7.4,26.6
Myron Boadu,ST,76.0,0.6,78.0,71.0,76.0,63.0,62.0,78.0,80.0,67.0,7.6,24.3
Diogo Jota,ST,78.0,0.6,77.0,68.0,68.0,70.0,69.0,76.0,70.0,70.0,8.9,23.5
Sergi Guardiola,ST,82.0,0.59,74.0,71.0,85.0,60.0,71.0,82.0,65.0,65.0,7.6,27.7
Meschak Elia,ST,79.0,0.59,75.0,65.0,79.0,72.0,66.0,82.0,73.0,66.0,7.6,22.3
Moise Kean,ST,83.0,0.59,75.0,67.0,68.0,60.0,64.0,79.0,76.0,71.0,8.4,31.6
Gift Orban,ST,75.0,0.59,75.0,69.0,71.0,72.0,61.0,79.0,74.0,65.0,7.9,19.4
Kylian Mbappé,ST,93.0,0.58,88.0,97.0,73.0,81.0,85.0,84.0,88.0,86.0,11.5,92.1
Ayoze Pérez,ST,83.0,0.58,75.0,77.0,67.0,65.0,73.0,78.0,74.0,73.0,8.9,33.8
Yoane Wissa,ST,74.0,0.57,76.0,77.0,83.0,67.0,68.0,84.0,74.0,73.0,9.8,24.7
Anastasios Douvikas,ST,78.0,0.57,75.0,65.0,60.0,60.0,71.0,79.0,68.0,66.0,8.5,18.5
Mateo Retegui,ST,76.0,0.56,70.0,65.0,72.0,63.0,68.0,76.0,75.0,68.0,7.6,23.5
Giovanni Simeone,ST,80.0,0.56,76.0,65.0,77.0,60.0,70.0,81.0,66.0,67.0,7.5,26.6
Jonathan Burkardt,ST,79.0,0.56,74.0,68.0,78.0,70.0,66.0,81.0,84.0,70.0,8.3,29.3
Lasso Coulibaly,ST,76.0,0.56,68.0,76.0,74.0,63.0,65.0,78.0,76.0,65.0,7.7,22.8
Raphinha,ST,84.0,0.56,74.0,90.0,76.0,84.0,83.0,82.0,76.0,78.0,11.1,35.3
Leroy Sané,ST,82.0,0.56,81.0,89.0,66.0,72.0,74.0,82.0,78.0,76.0,10.3,37.7
Alexander Isak,ST,75.0,0.56,75.0,88.0,78.0,72.0,75.0,86.0,84.0,77.0,10.9,28.3
Bradley Barcola,ST,78.0,0.55,72.0,94.0,66.0,78.0,77.0,80.0,77.0,84.0,11.9,37.3
Niama Sissoko,ST,82.0,0.54,71.0,74.0,75.0,67.0,65.0,83.0,65.0,65.0,7.2,24.7
Santiago Giménez,ST,76.0,0.54,71.0,74.0,73.0,66.0,65.0,78.0,79.0,67.0,7.6,21.2
João Félix,ST,77.0,0.54,74.0,65.0,83.0,85.0,64.0,81.0,65.0,68.0,7.8,20.8
Rodrigo Muniz,ST,73.0,0.54,71.0,71.0,66.0,68.0,64.0,75.0,83.0,66.0,7.9,18.8
Breel Embolo,ST,77.0,0.53,74.0,65.0,70.0,67.0,70.0,78.0,66.0,68.0,8.5,21.1
M'Bala Nzola,ST,77.0,0.53,71.0,65.0,69.0,77.0,66.0,77.0,70.0,69.0,8.0,23.1
Leonardo Pavoletti,ST,72.0,0.53,68.0,74.0,67.0,67.0,64.0,75.0,69.0,65.0,6.7,18.1
Marko Arnautović,ST,76.0,0.53,72.0,76.0,87.0,68.0,64.0,84.0,81.0,66.0,8.8,27.5
Jacob Bruun Larsen,ST,75.0,0.52,71.0,65.0,85.0,69.0,65.0,84.0,71.0,67.0,8.3,22.1
Duván Zapata,ST,78.0,0.52,72.0,69.0,79.0,66.0,65.0,79.0,72.0,66.0,7.4,20.5
Nelson Weiper,ST,74.0,0.52,71.0,69.0,78.0,69.0,62.0,82.0,68.0,67.0,8.1,22.3
Alexandre Lacazette,ST,80.0,0.51,71.0,65.0,88.0,62.0,70.0,84.0,80.0,68.0,7.8,28.5
Ángel Correa,ST,74.0,0.51,69.0,65.0,74.0,71.0,64.0,77.0,71.0,69.0,8.3,20.6
Sofiane Diop,ST,78.0,0.51,67.0,73.0,70.0,70.0,70.0,81.0,76.0,69.0,7.3,23.3
Orri Steinn Óskarsson,ST,72.0,0.5,68.0,72.0,76.0,67.0,71.0,78.0,69.0,66.0,7.6,18.6
Harry Kane,ST,94.0,0.5,95.0,70.0,87.0,88.0,88.0,79.0,90.0,69.0,8.1,72.1
Nicolas Jackson,ST,72.0,0.5,67.0,74.0,81.0,66.0,67.0,83.0,71.0,72.0,10.0,20.7
Eddie Nketiah,ST,80.0,0.5,68.0,69.0,76.0,63.0,64.0,82.0,65.0,71.0,9.2,20.1
Fabio Carvalho,ST,77.0,0.49,70.0,72.0,88.0,60.0,63.0,80.0,71.0,66.0,7.6,20.4
David Raya,GK,70.0,0.0,82.0,62.0,71.0,65.0,60.0,68.0,80.0,60.0,3.0,12.6
Matz Sels,GK,70.0,0.0,82.0,59.0,66.0,65.0,67.0,69.0,82.0,60.0,3.0,14.7
Joan García,GK,70.0,0.0,82.0,63.0,68.0,65.0,67.0,66.0,80.0,60.0,3.0,12.4
David Soria,GK,70.0,0.0,82.0,68.0,68.0,65.0,60.0,67.0,76.0,60.0,5.1,12.4
Dean Henderson,GK,70.0,0.0,82.0,59.0,73.0,65.0,60.0,65.0,79.0,60.0,3.0,15.1
Jordan Pickford,GK,70.0,0.0,82.0,59.0,68.0,65.0,60.0,65.0,77.0,60.0,5.2,11.1
Bernd Leno,GK,70.0,0.0,82.0,68.0,72.0,65.0,69.0,69.0,78.0,60.0,3.0,14.5
Mile Svilar,GK,70.0,0.0,82.0,64.0,78.0,65.0,62.0,65.0,76.0,60.0,4.4,15.1
Wladimiro Falcone,GK,70.0,0.0,82.0,58.0,75.0,65.0,62.0,70.0,78.0,60.0,6.3,13.9
Vanja Milinković-Savić,GK,70.0,0.0,82.0,63.0,68.0,65.0,64.0,72.0,81.0,60.0,3.0,13.6
Sergio Herrera,GK,70.0,0.0,82.0,58.0,69.0,65.0,60.0,68.0,75.0,60.0,7.6,11.3
Zion Suzuki,GK,70.0,0.0,82.0,58.0,72.0,65.0,61.0,69.0,78.0,60.0,3.0,12.4
Mike Maignan,GK,70.0,0.0,82.0,61.0,63.0,65.0,60.0,65.0,83.0,60.0,3.0,14.3
Mark Flekken,GK,70.0,0.0,82.0,55.0,67.0,65.0,64.0,71.0,77.0,60.0,3.0,13.6
Álex Remiro,GK,70.0,0.0,82.0,55.0,72.0,65.0,60.0,65.0,77.0,60.0,3.0,12.8
Lorenzo Montipò,GK,70.0,0.0,82.0,57.0,70.0,65.0,63.0,66.0,80.0,60.0,3.0,14.6
Jan Oblak,GK,70.0,0.0,82.0,55.0,78.0,65.0,66.0,65.0,78.0,60.0,7.1,15.4
Bart Verbruggen,GK,70.0,0.0,82.0,62.0,68.0,65.0,62.0,68.0,78.0,60.0,4.2,11.5
Paulo Gazzaniga,GK,70.0,0.0,82.0,55.0,66.0,65.0,65.0,68.0,83.0,60.0,6.1,15.6
Emiliano Martínez,GK,70.0,0.0,82.0,55.0,66.0,65.0,60.0,65.0,74.0,60.0,6.7,11.1
Obite N'Dicka,CB,50.0,0.03,81.0,77.0,88.0,75.0,60.0,83.0,77.0,64.0,7.8,38.2
Nathan Collins,CB,56.0,0.07,82.0,69.0,87.0,75.0,66.0,79.0,76.0,65.0,6.9,35.2
Federico Baschirotto,CB,70.0,0.03,81.0,70.0,95.0,75.0,64.0,82.0,74.0,64.0,13.3,36.4
Amir Rrahmani,CB,51.0,0.08,82.0,63.0,86.0,75.0,60.0,86.0,74.0,65.0,8.2,29.4
Moisés Caicedo,CB,68.0,0.02,80.0,67.0,88.0,75.0,63.0,79.0,78.0,69.0,10.8,29.6
Max Kilman,CB,50.0,0.04,81.0,71.0,92.0,75.0,70.0,92.0,72.0,65.0,9.1,38.9
Milos Kerkez,CB,75.0,0.02,80.0,64.0,88.0,75.0,62.0,83.0,79.0,73.0,10.2,37.3
Nikola Milenković,CB,64.0,0.11,83.0,72.0,90.0,75.0,65.0,88.0,78.0,64.0,9.1,44.8
Dan Burn,CB,54.0,0.05,81.0,67.0,90.0,75.0,63.0,92.0,80.0,65.0,10.9,35.4
Virgil van Dijk,CB,65.0,0.06,82.0,69.0,91.0,75.0,66.0,78.0,80.0,65.0,8.9,35.7
Giovanni Di Lorenzo,CB,60.0,0.08,82.0,67.0,82.0,75.0,66.0,83.0,78.0,72.0,11.7,31.5
Florian Lejeune,CB,52.0,0.1,82.0,79.0,91.0,75.0,67.0,84.0,76.0,64.0,8.5,35.0
Cristhian Mosquera,CB,75.0,0.01,80.0,70.0,87.0,75.0,67.0,81.0,77.0,64.0,11.9,29.2
Joško Gvardiol,CB,61.0,0.13,83.0,65.0,89.0,75.0,68.0,89.0,77.0,74.0,7.4,36.7
Sebastiano Luperto,CB,52.0,0.06,82.0,74.0,86.0,75.0,67.0,84.0,77.0,64.0,9.1,39.7
Daniel Muñoz,CB,57.0,0.14,84.0,64.0,95.0,75.0,66.0,90.0,74.0,72.0,8.0,40.2
Emmanuel Gyasi,CB,53.0,0.11,83.0,71.0,80.0,75.0,63.0,83.0,72.0,68.0,10.5,29.9
Antonio Raillo,CB,60.0,0.06,82.0,60.0,94.0,75.0,60.0,86.0,77.0,65.0,8.9,41.6
Murillo,CB,68.0,0.04,81.0,63.0,85.0,75.0,63.0,83.0,80.0,64.0,11.2,32.1
Angeliño,CB,68.0,0.04,81.0,71.0,94.0,75.0,62.0,83.0,76.0,71.0,10.5,43.9
Bruno Guimarães,CDM,72.0,0.12,81.0,71.0,85.0,80.0,78.0,79.0,83.0,76.0,12.9,42.8
Mattéo Guendouzi,CDM,66.0,0.04,79.0,66.0,84.0,80.0,80.0,83.0,81.0,74.0,12.1,34.6
Remo Freuler,CDM,66.0,0.04,79.0,66.0,82.0,80.0,77.0,87.0,84.0,73.0,12.1,38.6
Cole Palmer,CDM,68.0,0.49,90.0,76.0,75.0,80.0,80.0,82.0,73.0,79.0,13.9,37.6
Jesper Karlström,CDM,60.0,0.02,78.0,79.0,81.0,80.0,71.0,83.0,76.0,70.0,14.6,31.5
Jackson Tchatchoua,CDM,73.0,0.05,79.0,72.0,82.0,80.0,79.0,83.0,78.0,74.0,13.6,31.5
Ryan Gravenberch,CDM,60.0,0.03,79.0,77.0,79.0,80.0,76.0,81.0,78.0,74.0,12.8,34.3
Tijjani Reijnders,CDM,75.0,0.22,84.0,74.0,81.0,80.0,83.0,79.0,78.0,76.0,15.1,39.4
Morgan Rogers,CDM,73.0,0.19,83.0,69.0,77.0,80.0,81.0,83.0,78.0,75.0,15.1,33.5
Morten Frendrup,CDM,73.0,0.05,79.0,74.0,81.0,80.0,77.0,88.0,77.0,71.0,12.2,34.7
Carlos Vicente,CDM,78.0,0.1,80.0,80.0,84.0,80.0,75.0,85.0,80.0,77.0,12.4,42.4
Idrissa Gana Gueye,CDM,60.0,0.03,79.0,72.0,90.0,80.0,74.0,81.0,78.0,72.0,15.5,35.5
Marten de Roon,CDM,85.0,0.03,79.0,80.0,78.0,80.0,80.0,87.0,79.0,73.0,17.1,35.4
Kaishu Sano,CDM,60.0,0.03,79.0,59.0,82.0,80.0,75.0,86.0,77.0,72.0,13.7,36.8
Federico Valverde,CDM,85.0,0.08,80.0,76.0,78.0,80.0,85.0,87.0,86.0,75.0,15.4,48.5
Youri Tielemans,CDM,68.0,0.1,80.0,72.0,82.0,80.0,74.0,74.0,74.0,75.0,15.2,29.0
Bruno Fernandes,CDM,67.0,0.3,86.0,71.0,81.0,80.0,75.0,83.0,79.0,80.0,12.5,41.5
Simon Sohm,CDM,75.0,0.09,80.0,72.0,85.0,80.0,74.0,89.0,80.0,71.0,12.0,42.8
Alex Iwobi,CDM,84.0,0.14,82.0,62.0,86.0,80.0,72.0,89.0,81.0,79.0,13.7,38.8
Bryan Mbeumo,RW,95.0,0.32,80.0,81.0,69.0,75.0,81.0,72.0,84.0,90.0,5.6,55.6
Mohamed Salah,RW,87.0,0.67,89.0,86.0,61.0,75.0,72.0,74.0,79.0,92.0,7.2,52.3
Antoine Semenyo,RW,87.0,0.28,79.0,89.0,63.0,75.0,78.0,71.0,78.0,89.0,9.8,54.5
Roberto Piccoli,LW,82.0,0.37,81.0,95.0,72.0,75.0,67.0,82.0,75.0,82.0,8.8,48.9
Keane Lewis-Potter,LW,75.0,0.09,74.0,88.0,70.0,75.0,77.0,74.0,76.0,84.0,12.7,39.5
Dodi Lukebakio,LW,87.0,0.29,79.0,94.0,68.0,75.0,75.0,68.0,85.0,88.0,12.1,49.1
Trent Alexander-Arnold,RB,72.0,0.08,82.0,82.0,72.0,90.0,88.0,78.0,82.0,85.0,10.5,38.1
João Cancelo,RB,68.0,0.05,80.0,88.0,70.0,87.0,85.0,76.0,80.0,88.0,12.2,34.5
Alphonso Davies,RB,65.0,0.03,82.0,96.0,76.0,78.0,75.0,82.0,78.0,86.0,13.5,37.3
Theo Hernández,RB,70.0,0.06,81.0,92.0,78.0,80.0,77.0,80.0,79.0,87.0,11.8,33.9
Achraf Hakimi,RB,72.0,0.07,82.0,94.0,75.0,82.0,80.0,78.0,80.0,89.0,12.0,42.7
Kyle Walker,RB,58.0,0.02,85.0,91.0,82.0,75.0,72.0,83.0,81.0,83.0,11.5,39.5
Jeremie Frimpong,RB,68.0,0.05,80.0,93.0,72.0,76.0,74.0,80.0,76.0,88.0,13.8,32.1
Ben Chilwell,LB,65.0,0.04,81.0,85.0,76.0,82.0,78.0,79.0,78.0,82.0,10.8,32.5
Andrew Robertson,LB,62.0,0.03,83.0,86.0,78.0,85.0,82.0,84.0,80.0,84.0,12.5,34.6
Denzel Dumfries,LB,70.0,0.08,82.0,84.0,86.0,74.0,72.0,85.0,78.0,85.0,12.8,37.3
Reece James,LB,73.0,0.06,82.0,83.0,84.0,86.0,82.0,80.0,81.0,83.0,11.2,33.2
Diogo Dalot,LB,64.0,0.03,80.0,87.0,76.0,78.0,75.0,79.0,77.0,82.0,11.5,33.7
Nuno Mendes,LB,62.0,0.02,79.0,90.0,72.0,80.0,76.0,77.0,76.0,84.0,12.8,32.3
Ferland Mendy,LB,58.0,0.01,84.0,88.0,80.0,76.0,73.0,82.0,79.0,81.0,11.0,38.4
Alejandro Balde,LB,60.0,0.02,78.0,93.0,70.0,78.0,74.0,76.0,75.0,85.0,12.5,29.7
Kevin De Bruyne,CAM,82.0,0.15,88.0,76.0,75.0,93.0,95.0,76.0,90.0,86.0,10.5,78.1
Jude Bellingham,CAM,80.0,0.25,88.0,82.0,82.0,85.0,88.0,82.0,85.0,88.0,12.8,48.6
İlkay Gündoğan,CAM,76.0,0.12,87.0,72.0,74.0,88.0,90.0,75.0,88.0,82.0,9.8,60.0
Frenkie de Jong,CAM,70.0,0.05,84.0,80.0,78.0,90.0,88.0,78.0,86.0,80.0,11.2,52.4
Bernardo Silva,CM,76.0,0.1,86.0,82.0,68.0,88.0,90.0,76.0,87.0,84.0,13.5,52.9
Martin Ødegaard,CM,76.0,0.12,86.0,76.0,70.0,88.0,90.0,74.0,85.0,82.0,10.8,54.9
Pedri,CM,72.0,0.06,84.0,78.0,68.0,90.0,88.0,72.0,86.0,80.0,11.5,53.7
Eduardo Camavinga,CM,68.0,0.04,82.0,84.0,78.0,82.0,80.0,82.0,80.0,82.0,14.8,38.9
Phil Foden,CM,80.0,0.16,86.0,82.0,70.0,86.0,88.0,76.0,84.0,84.0,12.0,53.0
Declan Rice,CM,65.0,0.04,88.0,76.0,84.0,84.0,82.0,86.0,82.0,78.0,15.5,37.4
Jamal Musiala,CM,78.0,0.14,85.0,84.0,72.0,86.0,88.0,74.0,83.0,86.0,11.8,46.2
Florian Wirtz,CM,78.0,0.16,84.0,80.0,68.0,88.0,90.0,72.0,84.0,84.0,10.2,60.8
Bukayo Saka,RW,82.0,0.18,84.0,88.0,74.0,84.0,86.0,76.0,82.0,86.0,11.5,62.3
Rodrygo,RW,80.0,0.14,82.0,90.0,68.0,82.0,82.0,74.0,80.0,84.0,10.8,52.8
Federico Chiesa,RW,80.0,0.15,82.0,91.0,76.0,78.0,80.0,80.0,78.0,84.0,13.2,47.5
Serge Gnabry,RW,82.0,0.16,84.0,88.0,75.0,80.0,82.0,78.0,80.0,82.0,11.0,46.9
Riyad Mahrez,RW,84.0,0.2,86.0,84.0,68.0,86.0,88.0,70.0,84.0,84.0,9.5,57.2
Xavi Simons,RW,76.0,0.1,80.0,86.0,70.0,84.0,84.0,74.0,78.0,82.0,10.5,49.9
Vinícius Júnior,LW,85.0,0.28,86.0,95.0,72.0,82.0,84.0,78.0,82.0,88.0,12.5,80.0
Rafael Leão,LW,82.0,0.22,84.0,94.0,80.0,80.0,82.0,76.0,80.0,86.0,11.8,64.0
Khvicha Kvaratskhelia,LW,82.0,0.24,84.0,90.0,74.0,82.0,84.0,78.0,80.0,85.0,12.2,57.2
Kingsley Coman,LW,78.0,0.14,82.0,92.0,72.0,82.0,82.0,76.0,78.0,84.0,11.5,44.9
Marcus Rashford,LW,84.0,0.26,84.0,91.0,78.0,78.0,80.0,80.0,80.0,86.0,10.8,48.6
Luis Díaz,LW,80.0,0.18,82.0,89.0,74.0,80.0,82.0,82.0,78.0,84.0,13.0,55.9
Son Heung-min,LW,88.0,0.3,88.0,87.0,75.0,84.0,86.0,76.0,86.0,88.0,10.5,69.0
Jack Grealish,LW,72.0,0.08,78.0,82.0,72.0,88.0,88.0,70.0,82.0,80.0,11.2,34.4
Luka Modrić,CAM,70.0,0.06,86.0,72.0,68.0,92.0,94.0,74.0,90.0,82.0,10.8,53.2
Thomas Müller,CAM,78.0,0.14,90.0,72.0,76.0,86.0,92.0,76.0,88.0,88.0,11.5,65.3
Christopher Nkunku,CAM,84.0,0.28,88.0,84.0,72.0,86.0,88.0,76.0,82.0,86.0,12.0,49.0
Mason Mount,CAM,76.0,0.12,82.0,80.0,72.0,84.0,84.0,78.0,80.0,82.0,12.5,38.0
Kai Havertz,CAM,80.0,0.16,86.0,78.0,78.0,84.0,86.0,72.0,82.0,84.0,10.2,48.2
Dani Olmo,CAM,78.0,0.14,84.0,80.0,70.0,86.0,88.0,74.0,82.0,82.0,11.8,51.9
Paulo Dybala,CAM,86.0,0.22,88.0,80.0,68.0,86.0,88.0,70.0,86.0,84.0,9.5,62.2
Rodri,CM,68.0,0.06,88.0,74.0,84.0,90.0,88.0,82.0,88.0,78.0,13.8,45.3
Aurélien Tchouaméni,CM,65.0,0.04,84.0,80.0,86.0,82.0,80.0,84.0,80.0,78.0,15.2,38.6
Pedro Porro,RB,68.0,0.05,81.0,87.0,76.0,82.0,80.0,78.0,79.0,84.0,11.8,32.1
Kieran Trippier,RB,70.0,0.04,84.0,75.0,72.0,88.0,86.0,76.0,83.0,82.0,10.5,27.3
Jules Koundé,RB,62.0,0.03,86.0,89.0,82.0,78.0,76.0,84.0,81.0,82.0,12.8,41.6
Malo Gusto,RB,64.0,0.03,79.0,88.0,74.0,76.0,74.0,77.0,76.0,83.0,11.5,32.0
Noussair Mazraoui,RB,66.0,0.04,82.0,86.0,76.0,80.0,78.0,80.0,79.0,82.0,12.0,37.1
Dani Carvajal,RB,68.0,0.04,86.0,84.0,80.0,82.0,80.0,84.0,83.0,83.0,11.2,39.0
Benjamin Pavard,RB,64.0,0.03,85.0,80.0,84.0,78.0,76.0,82.0,80.0,80.0,11.8,32.7
Vanderson,RB,66.0,0.04,80.0,90.0,75.0,76.0,74.0,80.0,77.0,85.0,13.2,30.7
Josh Nichols,RB,62.0,0.02,78.0,86.0,72.0,74.0,72.0,76.0,75.0,81.0,11.0,25.4
Takehiro Tomiyasu,RB,60.0,0.02,84.0,82.0,82.0,76.0,74.0,80.0,79.0,79.0,10.8,27.8
Konrad Laimer,RB,68.0,0.05,82.0,88.0,78.0,78.0,76.0,84.0,78.0,84.0,14.5,34.6
Yukinari Sugawara,RB,62.0,0.03,79.0,85.0,70.0,75.0,73.0,76.0,75.0,80.0,11.5,29.7
Lutsharel Geertruida,RB,66.0,0.04,82.0,84.0,78.0,78.0,76.0,79.0,77.0,81.0,11.8,30.5
Luke Shaw,LB,64.0,0.03,82.0,84.0,78.0,82.0,80.0,78.0,79.0,81.0,10.5,35.7
David Raum,LB,66.0,0.04,80.0,88.0,74.0,84.0,82.0,76.0,78.0,84.0,11.8,35.8
